Episode,Reward
1,-1218.1162710120554
2,-1162.7929352354272
3,-1551.603036257398
4,-1023.5124421407047
5,-1690.0977008308346
6,-1127.6869774837492
7,-1130.8812356251547
8,-815.447979697945
9,-1135.615683702894
10,-1706.570557927989
11,-922.6837027277604
12,-1791.3480870206015
13,-1164.6524497479074
14,-1317.0862420528035
15,-915.7366043260336
16,-1129.8353935123357
17,-908.7278652949018
18,-802.7422905424323
19,-1069.9877515625717
20,-840.8358022715046
21,-811.5274963025581
22,-689.5943248662846
23,-1704.302392548182
24,-1762.241683439065
25,-1600.193126097061
26,-836.3745287935945
27,-798.1067987630539
28,-912.7750274082986
29,-817.8069838263139
30,-1181.0884764066768
31,-1439.4708849822418
32,-741.3897350628224
33,-1428.8841277430042
34,-1301.2352222948318
35,-1204.515153913901
36,-1402.0480799194677
37,-805.3006098584432
38,-1515.8676265164663
39,-810.1100422825956
40,-840.8415641519799
41,-1819.5539930938553
42,-918.6157127379502
43,-919.2564891781136
44,-1764.7945745229217
45,-799.9228060487089
46,-748.7069255646467
47,-1260.3006669451381
48,-827.8902283941353
49,-794.709273956975
50,-1137.7771978666565
51,-707.6837823081381
52,-1813.8784230254223
53,-871.749742605587
54,-767.493633876084
55,-1305.8224953223905
56,-1028.36740524923
57,-1680.2556776148963
58,-808.6414094639428
59,-1368.9900597081062
60,-1648.5915981862895
61,-1304.1159628093249
62,-1021.4798244961836
63,-1344.718671880122
64,-808.812215716315
65,-1737.2221365912555
66,-889.993853119259
67,-1294.4216468242878
68,-987.8193135944972
69,-1434.0073663034036
70,-1173.3561686414075
71,-1383.8621931010875
72,-1686.293979206299
73,-1247.0119863912448
74,-923.4594600318092
75,-1263.7687346023167
76,-1403.0665563884206
77,-1551.8404193322008
78,-1396.8778478058132
79,-1500.1910689886308
80,-927.2840670340381
81,-1268.1331568557714
82,-944.3190476681465
83,-1231.6083434822551
84,-1439.4070649267683
85,-1563.4792154363604
86,-1467.4003268714928
87,-940.115338894647
88,-798.1710159910212
89,-1140.8224994588525
90,-1088.9145642693672
91,-1217.7673239188284
92,-1639.5370511917847
93,-1657.5777150527538
94,-822.8721661375852
95,-1272.8751878845942
96,-1366.8450501078967
97,-682.7793847221211
98,-995.5962596398801
99,-1130.6018082913467
100,-1243.4563511148576
101,-1691.2977005843577
102,-1030.9481634800115
103,-1261.8489209409652
104,-920.8828929547255
105,-1343.9666746305777
106,-1694.9017882417093
107,-1202.914099327329
108,-1419.337268721474
109,-1637.252924358297
110,-867.2404493437314
111,-1232.3615494696355
112,-1536.4188610797987
